2011.04.07,00:00,1.43243,1.43248,1.42441,1.42974,194274
2011.04.08,00:00,1.42974,1.44872,1.42910,1.44801,179374
2011.04.10,00:00,1.44702,1.44831,1.44495,1.44799,10214
2011.04.11,00:00,1.44799,1.44799,1.44207,1.44230,166285
2011.04.12,00:00,1.44230,1.45185,1.43770,1.44820,230589
2011.04.13,00:00,1.44820,1.45195,1.44132,1.44512,188445
2011.04.14,00:00,1.44510,1.45140,1.43649,1.45006,213211
2011.04.15,00:00,1.45020,1.45021,1.43906,1.44274,172717
2011.04.17,00:00,1.44086,1.44195,1.43900,1.43959,9430
2011.04.18,00:00,1.43966,1.44036,1.41606,1.42368,208933
2011.04.19,00:00,1.42369,1.43727,1.42050,1.43643,198501
2011.04.20,00:00,1.43641,1.45441,1.43546,1.45180,226394
2011.04.21,00:00,1.45172,1.46482,1.45148,1.45585,192441
2011.04.22,00:00,1.45578,1.45878,1.45334,1.45602,58271
2011.04.24,00:00,1.45588,1.45881,1.45506,1.45870,9918
2011.04.25,00:00,1.45887,1.46268,1.45250,1.45510,131538
2011.04.26,00:00,1.45509,1.47101,1.44930,1.47041,211997
2011.04.27,00:00,1.47045,1.47951,1.46324,1.47873,212911
2011.04.28,00:00,1.47873,1.48788,1.47725,1.48402,212395
2011.04.29,00:00,1.48403,1.48776,1.48033,1.48038,131015
2011.05.01,00:00,1.48130,1.48391,1.47799,1.48152,16424
2011.05.02,00:00,1.48152,1.49015,1.47628,1.47937,177626
2011.05.03,00:00,1.47937,1.48888,1.47540,1.48365,219735
2011.05.04,00:00,1.48365,1.49398,1.47748,1.48268,246267
2011.05.05,00:00,1.48281,1.48978,1.45099,1.45577,270577
2011.05.06,00:00,1.45568,1.45873,1.43109,1.43146,285436
2011.05.08,00:00,1.43555,1.43957,1.43414,1.43881,13606
2011.05.09,00:00,1.43882,1.44408,1.42557,1.43679,277532
2011.05.10,00:00,1.43678,1.44186,1.42703,1.43996,296764
2011.05.11,00:00,1.43996,1.44227,1.41723,1.42066,287996
2011.05.12,00:00,1.42065,1.42755,1.41230,1.42292,321074
2011.05.13,00:00,1.42295,1.43383,1.40666,1.41163,301167
2011.05.15,00:00,1.40840,1.40919,1.40628,1.40660,12638
2011.05.16,00:00,1.40649,1.42442,1.40480,1.41450,295950
2011.05.17,00:00,1.41448,1.42758,1.41230,1.42663,304130
2011.05.18,00:00,1.42663,1.42862,1.41947,1.42577,244645
2011.05.19,00:00,1.42577,1.43365,1.42062,1.43254,272659
2011.05.20,00:00,1.43254,1.43452,1.41330,1.41561,236496
2011.05.22,00:00,1.41197,1.41443,1.40953,1.41164,15478
2011.05.23,00:00,1.41164,1.41346,1.39694,1.40134,270932
2011.05.24,00:00,1.40134,1.41324,1.40132,1.40919,254882
2011.05.25,00:00,1.40918,1.41181,1.40129,1.40686,276214
2011.05.26,00:00,1.40685,1.42061,1.40679,1.41436,276435
2011.05.27,00:00,1.41438,1.43198,1.41292,1.43163,264475
2011.05.29,00:00,1.43194,1.43212,1.42793,1.42894,8542
2011.05.30,00:00,1.42895,1.43505,1.42567,1.43328,133134
2011.05.31,00:00,1.43328,1.44366,1.43255,1.44240,249656
2011.06.01,00:00,1.44240,1.44584,1.43077,1.43448,254959
2011.06.02,00:00,1.43448,1.45119,1.43255,1.44864,236865
2011.06.03,00:00,1.44864,1.46423,1.44548,1.46348,219897
2011.06.05,00:00,1.46068,1.46566,1.46057,1.46522,14383
2011.06.06,00:00,1.46534,1.46576,1.45573,1.45901,225912
2011.06.07,00:00,1.45907,1.46956,1.45633,1.46786,220175
2011.06.08,00:00,1.46802,1.46890,1.45639,1.45918,236532
2011.06.09,00:00,1.45918,1.46457,1.44782,1.45367,227863
2011.06.10,00:00,1.45367,1.45500,1.43222,1.43468,237343
2011.06.12,00:00,1.43246,1.43416,1.43201,1.43356,9689
2011.06.13,00:00,1.43358,1.44299,1.43223,1.44144,225005
2011.06.14,00:00,1.44147,1.44971,1.43780,1.44324,235436
2011.06.15,00:00,1.44324,1.44379,1.41560,1.41916,272367
2011.06.16,00:00,1.41916,1.42207,1.40731,1.42012,292843
2011.06.17,00:00,1.42010,1.43389,1.41269,1.43063,252007
2011.06.19,00:00,1.42731,1.42934,1.42559,1.42573,10437
2011.06.20,00:00,1.42571,1.43816,1.41912,1.43615,237032
2011.06.21,00:00,1.43616,1.44223,1.43069,1.43767,233737
2011.06.22,00:00,1.43766,1.44412,1.43100,1.43304,219198
2011.06.23,00:00,1.43304,1.43330,1.41268,1.42614,241714
2011.06.24,00:00,1.42614,1.43057,1.41431,1.41888,226175
2011.06.26,00:00,1.41880,1.41959,1.41461,1.41549,10863
2011.06.27,00:00,1.41545,1.43262,1.41025,1.43110,226428
2011.06.28,00:00,1.43106,1.43966,1.42370,1.43571,242015
2011.06.29,00:00,1.43570,1.44811,1.43384,1.44635,239427
2011.06.30,00:00,1.44636,1.45375,1.44475,1.44744,216323
2011.07.01,00:00,1.44744,1.45503,1.44383,1.45254,200406
2011.07.03,00:00,1.45290,1.45774,1.45290,1.45633,10644
2011.07.04,00:00,1.45633,1.45674,1.44953,1.45415,146746
2011.07.05,00:00,1.45409,1.45411,1.43981,1.44344,206313
2011.07.06,00:00,1.44342,1.44663,1.42859,1.43349,211096
2011.07.07,00:00,1.43352,1.43739,1.42229,1.43612,213369
2011.07.08,00:00,1.43612,1.43679,1.42142,1.42634,213705
2011.07.10,00:00,1.42030,1.42265,1.41975,1.42114,12670
2011.07.11,00:00,1.42121,1.42273,1.39863,1.40380,272069
